Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers,Year
SDP,"953,857","16,734",27.2,26.8,97,98,2,1,7,"$14,916,333 ",2:51,,,,Riggleman,1994
SEA,"1,104,206","25,096",27.4,27.1,101,101,3,2,10,"$29,228,500 ",2:57,,,,Piniella,1994
SFG,"1,704,608","28,410",28.4,28.5,94,94,0,3,9,"$42,638,666 ",2:53,,,,Baker,1994
STL,"1,866,544","33,331",28.9,29.4,98,98,1,2,8,"$29,275,601 ",2:51,,,,Torre,1994
TEX,"2,503,198","39,733",27.4,29,99,100,1,2,14,"$32,973,597 ",3:12,,,,Kennedy,1994
TOR,"2,907,933","49,287",29.3,29,100,100,2,4,14,"$43,433,668 ",2:58,,,,Gaston,1994
ATL,"3,884,720","47,960",28.8,26.8,100,99,4,5,17,"$41,641,417 ",2:49,,,,Cox,1993
BAL,"3,644,965","45,000",29.4,28.4,104,103,1,2,13,"$29,096,500 ",3:03,,,,Oates,1993
BOS,"2,422,021","29,901",29.6,30.6,106,107,1,1,11,"$37,120,583 ",2:59,,,,Hobson,1993
CAL,"2,057,460","25,401",27.2,28.8,102,103,0,1,10,"$28,588,334 ",2:53,,,,Rodgers,1993
CHC,"2,653,763","32,363",28,28.3,97,97,1,2,10,"$39,386,666 ",2:43,,,,Lefebvre,1993
CHW,"2,581,091","31,865",28.9,26.6,98,97,3,2,18,"$39,696,166 ",2:53,,,,Lamont,1993
CIN,"2,453,232","30,287",28.4,27.9,100,99,1,2,13,"$44,879,666 ",2:41,,,,Perez and Johnson,1993
CLE,"2,177,908","26,888",27.2,27.3,100,100,1,2,11,"$18,561,000 ",2:56,,,,Hargrove,1993
COL,"4,483,350","55,350",27.7,27.1,116,118,0,1,9,"$10,353,500 ",2:51,,,,Baylor,1993
DET,"1,971,421","24,339",30.8,30.1,99,99,1,2,9,"$38,150,165 ",3:07,,,,Anderson,1993
FLA,"3,064,847","37,838",27.7,29.7,104,105,1,2,10,"$19,330,545 ",2:52,,,,Lachemann,1993
HOU,"2,084,618","25,736",27.1,28.3,95,95,2,1,13,"$30,210,500 ",2:48,,,,Howe,1993
KCR,"1,934,578","23,884",30.1,27.4,106,106,1,1,11,"$41,455,167 ",2:48,,,,McRae,1993
LAD,"3,170,393","39,141",28.8,29.1,94,94,2,1,14,"$39,440,999 ",2:57,,,,Lasorda,1993
MIL,"1,688,080","20,840",28.5,27.3,99,98,1,1,12,"$23,806,834 ",2:55,,,,Garner,1993
MIN,"2,048,673","25,292",29.7,27.5,100,100,2,2,7,"$28,217,933 ",2:50,,,,Kelly,1993
MON,"1,641,437","20,265",25.7,27.9,104,103,0,1,12,"$18,899,333 ",2:52,,,,Alou,1993
NYM,"1,873,183","23,126",29.4,29.2,98,99,1,1,14,"$39,043,667 ",2:44,,,,Torborg and Green,1993
NYY,"2,416,942","29,839",29.7,28.9,97,96,1,2,14,"$42,723,000 ",2:58,,,,Showalter,1993
OAK,"2,035,025","25,124",28,30.9,94,94,3,1,13,"$37,812,333 ",3:02,,,,La Russa,1993
PHI,"3,137,674","38,737",29.3,28.8,98,98,0,4,14,"$28,538,334 ",2:54,,,,Fregosi,1993
PIT,"1,650,593","20,378",28.1,27.6,99,99,0,2,10,"$24,822,467 ",2:44,,,,Leyland,1993
SDP,"1,375,432","16,981",26.9,26.7,101,102,2,2,10,"$25,511,333 ",2:47,,,,Riggleman,1993
SEA,"2,052,638","25,341",27.9,28.3,101,101,2,2,13,"$33,646,333 ",2:52,,,,Piniella,1993
SFG,"2,606,354","32,177",28,28.5,96,96,0,4,11,"$35,159,000 ",2:51,,,,Baker,1993
STL,"2,844,977","35,123",28,28.7,97,97,1,2,8,"$23,367,334 ",2:45,,,,Torre,1993
TEX,"2,244,616","27,711",27.6,30.3,96,96,2,2,13,"$36,376,959 ",2:58,,,,Kennedy,1993
TOR,"4,057,947","50,098",29.2,29.5,101,100,4,7,18,"$47,279,166 ",2:55,,,,Gaston,1993
ATL,"3,077,400","37,993",28.4,27.5,107,105,2,4,16,"$34,625,333 ",2:50,,,,Cox,1992
BAL,"3,567,819","44,047",28.4,27.9,101,101,1,3,9,"$23,891,667 ",3:04,,,,Oates,1992
BOS,"2,468,574","30,476",28.7,31.5,106,106,1,2,13,"$43,610,584 ",3:01,,,,Hobson,1992
CAL,"2,065,444","25,499",28.1,28.8,100,100,1,1,11,"$34,749,334 ",2:51,,,,Rodgers and Wathan,1992
CHC,"2,126,720","26,256",28.3,27.2,103,103,3,2,11,"$29,829,686 ",2:45,,,,Lefebvre,1992
CHW,"2,681,156","32,697",28.7,28.9,99,98,3,2,14,"$30,160,833 ",2:58,,,,Lamont,1992
CIN,"2,315,946","28,592",27.9,28.1,104,104,1,2,11,"$33,431,499 ",2:48,,,,Piniella,1992
CLE,"1,224,094","15,112",25.7,27,98,99,1,3,11,"$9,373,044 ",2:55,,,,Hargrove,1992
DET,"1,423,963","17,800",30,29.6,100,100,1,1,7,"$27,322,834 ",3:02,,,,Anderson,1992
HOU,"1,211,412","14,956",26.4,27.1,95,96,2,2,10,"$15,407,500 ",2:54,,,,Howe,1992
KCR,"1,867,689","23,058",28.9,27.1,102,102,1,1,13,"$33,893,834 ",2:47,,,,McRae,1992
LAD,"2,473,266","30,534",28.4,31.2,99,99,2,1,16,"$44,788,166 ",2:54,,,,Lasorda,1992
MIL,"1,857,351","22,930",29.7,27.5,98,98,2,1,12,"$31,013,667 ",2:57,,,,Garner,1992
MIN,"2,482,428","30,647",28.7,27.7,102,102,1,3,7,"$28,027,834 ",2:53,,,,Kelly,1992
MON,"1,669,127","20,607",27.4,28,100,99,1,2,12,"$15,822,334 ",2:54,,,,Runnells and Alou,1992
NYM,"1,779,534","21,970",30,28.2,99,100,1,1,14,"$44,602,002 ",2:56,,,,Torborg,1992
NYY,"1,748,737","21,589",28.2,29.5,99,99,0,1,11,"$37,652,334 ",3:00,,,,Showalter,1992
OAK,"2,494,160","30,792",30.1,32,94,94,3,3,20,"$41,035,000 ",3:03,,,,La Russa,1992
PHI,"1,927,448","23,796",27.7,26.8,100,100,0,2,12,"$24,492,834 ",2:48,,,,Fregosi,1992
PIT,"1,829,395","22,585",28.7,29.2,100,99,0,2,9,"$33,944,167 ",2:51,,,,Leyland,1992
SDP,"1,721,406","21,252",28.4,29.1,102,102,1,5,9,"$26,854,167 ",2:46,,,,Riddoch and Riggleman,1992
SEA,"1,651,367","20,387",28.3,27.4,100,100,2,2,12,"$23,304,833 ",2:54,,,,Plummer,1992
SFG,"1,560,998","19,272",28.1,28.2,95,95,0,1,10,"$33,163,168 ",2:51,,,,Craig,1992
STL,"2,418,483","29,858",28.6,28.7,97,97,1,4,12,"$27,583,836 ",2:51,,,,Torre,1992
TEX,"2,198,231","27,139",27.3,29.6,97,97,2,3,15,"$30,128,167 ",3:01,,,,Valentine and Harrah,1992
TOR,"4,028,318","49,732",29.3,30,104,103,3,3,20,"$44,788,666 ",3:00,,,,Gaston,1992
ATL,"2,140,217","26,422",28,27.1,106,106,2,1,14,"$18,403,500 ",2:52,,,,Cox,1991
BAL,"2,552,753","31,515",28.2,27.4,96,97,1,1,10,"$17,519,000 ",3:02,,,,Robinson and Oates,1991
BOS,"2,562,435","31,635",28.9,30.8,105,105,1,3,13,"$35,167,500 ",2:59,,,,Morgan,1991
CAL,"2,416,236","29,830",30.9,27.9,99,100,1,2,12,"$33,060,001 ",2:53,,,,Rader and Rodgers,1991
CHC,"2,314,250","27,883",28.9,27.5,104,105,3,3,11,"$23,380,667 ",2:51,,,,"Zimmer, Altobelli and Essian",1991
CHW,"2,934,154","36,224",27.8,26.7,98,97,3,3,15,"$16,919,667 ",3:07,,,,Torborg,1991
CIN,"2,372,377","29,289",28.2,27.6,104,104,1,5,12,"$26,305,333 ",2:48,,,,Piniella,1991
CLE,"1,051,863","12,828",25.5,26.8,101,102,1,1,10,"$17,635,000 ",2:46,,,,McNamara and Hargrove,1991
DET,"1,641,661","20,267",29.2,30.8,102,102,1,1,9,"$23,838,333 ",3:06,,,,Anderson,1991
HOU,"1,196,152","14,767",26.1,26.4,93,94,2,2,12,"$12,852,500 ",2:53,,,,Howe,1991
KCR,"2,161,537","26,686",28.6,27.6,100,101,1,1,12,"$26,319,834 ",2:55,,,,"Wathan, Schaefer and McRae",1991
LAD,"3,348,170","41,335",30.2,30.2,98,97,2,5,16,"$32,790,664 ",2:59,,,,Lasorda,1991
MIL,"1,478,729","18,484",30.3,27,98,98,2,1,9,"$23,115,500 ",2:57,,,,Trebelhorn,1991
MIN,"2,293,842","28,319",29.1,28.6,105,104,2,4,9,"$23,361,833 ",2:47,,,,Kelly,1991
MON,"934,742","13,746",27.7,28.4,99,99,0,2,8,"$10,732,333 ",2:53,,,,Rodgers and Runnells,1991
NYM,"2,284,484","27,860",29.1,28,99,99,0,2,14,"$32,590,001 ",2:54,,,,Harrelson and Cubbage,1991
NYY,"1,863,733","23,009",27.7,29.5,100,101,0,1,10,"$27,344,168 ",3:00,,,,Merrill,1991
OAK,"2,713,493","33,500",29.9,30.9,94,93,2,5,19,"$36,999,167 ",3:02,,,,La Russa,1991
PHI,"2,050,012","24,699",29,26.7,99,99,0,1,12,"$22,487,332 ",2:50,,,,Leyva and Fregosi,1991
PIT,"2,065,302","24,587",28.1,28.4,99,97,0,2,10,"$23,634,667 ",2:48,,,,Leyland,1991
SDP,"1,804,289","22,275",28,29,103,103,1,2,12,"$22,150,001 ",2:47,,,,Riddoch,1991
SEA,"2,147,905","26,517",28.1,27.5,100,100,2,1,10,"$15,691,833 ",2:54,,,,Lefebvre,1991
SFG,"1,737,478","21,450",28.4,28.9,96,97,0,1,17,"$30,967,666 ",2:50,,,,Craig,1991
STL,"2,448,699","29,151",28.5,29.4,100,100,1,3,11,"$21,860,001 ",2:45,,,,Torre,1991
TEX,"2,297,720","28,367",27.7,29,98,99,3,3,14,"$18,224,500 ",3:05,,,,Valentine,1991
TOR,"4,001,527","49,402",27.6,28.2,104,103,1,3,16,"$19,902,417 ",2:55,,,,Gaston and Tenace,1991
ATL,"980,129","12,100",27.4,25.8,105,106,2,1,13,"$15,065,501 ",2:48,,,,Nixon and Cox,1990
BAL,"2,415,189","30,190",27.4,26.2,97,97,1,2,10,"$10,100,084 ",3:03,,,,Robinson,1990
BOS,"2,528,986","31,222",28.9,30.6,104,104,1,3,13,"$20,858,333 ",2:58,,,,Morgan,1990
CAL,"2,555,688","31,552",29.9,28.1,97,97,2,2,17,"$22,417,500 ",2:58,,,,Rader,1990
CHC,"2,243,791","27,701",28.2,26.1,108,108,3,3,8,"$14,599,000 ",2:44,,,,Zimmer,1990
CHW,"2,002,357","25,029",27.7,24.9,98,98,2,2,11,"$10,721,500 ",3:01,,,,Torborg,1990
CIN,"2,400,892","29,641",27.5,27.4,105,105,1,5,13,"$14,470,000 ",2:42,,,,Piniella,1990
CLE,"1,225,240","15,126",27.3,28.1,99,100,0,3,10,"$15,208,000 ",2:45,,,,McNamara,1990
DET,"1,495,785","18,466",30.7,30.4,101,102,2,2,12,"$18,393,238 ",2:59,,,,Anderson,1990
HOU,"1,310,927","16,184",28.4,31.8,97,98,1,1,11,"$18,752,500 ",2:48,,,,Howe,1990
KCR,"2,244,956","27,716",29.8,27.3,98,98,1,1,18,"$24,161,084 ",2:50,,,,Wathan,1990
LAD,"3,002,396","37,067",29.7,28.2,97,97,1,2,16,"$22,018,704 ",2:51,,,,Lasorda,1990
MIL,"1,752,900","21,641",29.5,28.6,99,99,2,1,8,"$20,149,167 ",2:56,,,,Trebelhorn,1990
MIN,"1,751,584","21,624",29.5,27.1,106,106,1,1,6,"$15,272,000 ",2:41,,,,Kelly,1990
MON,"1,373,087","16,952",27.7,29.3,96,96,1,2,9,"$17,334,888 ",2:54,,,,Rodgers,1990
NYM,"2,732,745","33,738",27.5,28,100,99,0,3,13,"$21,922,834 ",2:52,,,,Johnson and Harrelson,1990
NYY,"2,006,436","24,771",28.2,29.1,100,101,1,1,10,"$21,312,318 ",2:57,,,,Dent and Merrill,1990
OAK,"2,900,217","35,805",29.1,31.7,95,94,2,5,19,"$20,087,501 ",2:54,,,,La Russa,1990
PHI,"1,992,484","24,599",28.6,26.5,99,100,0,1,12,"$13,740,167 ",2:52,,,,Leyva,1990
PIT,"2,049,908","25,308",27.7,28.9,96,95,0,3,12,"$15,556,000 ",2:48,,,,Leyland,1990
SDP,"1,856,396","22,918",28.7,29.5,101,101,2,3,13,"$17,788,334 ",2:46,,,,McKeon and Riddoch,1990
SEA,"1,509,727","18,639",27.9,26.9,100,100,2,2,12,"$12,867,667 ",2:52,,,,Lefebvre,1990
SFG,"1,975,528","24,389",29.1,29.5,96,96,1,4,17,"$21,565,333 ",2:50,,,,Craig,1990
STL,"2,573,225","31,768",29.4,29.8,100,100,1,1,12,"$21,048,334 ",2:47,,,,"Herzog, Schoendienst and Torre",1990
TEX,"2,057,911","25,096",27.5,30.3,100,100,1,1,12,"$15,597,872 ",2:57,,,,Valentine,1990
TOR,"3,885,284","47,966",26.9,29,106,105,0,3,14,"$19,259,334 ",2:56,,,,Gaston,1990
