Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,HBP,SH,SF,IBB,LOB,Year
HOU,36,27.1,4.42,162,6136,5464,716,1459,288,37,138,656,103,60,497,911,0.267,0.33,0.409,0.739,102,2235,125,40,82,47,58,1116,1993
KCR,43,30.1,4.17,162,6101,5522,675,1455,294,35,125,641,100,75,428,936,0.263,0.32,0.397,0.717,88,2194,107,52,48,51,50,1090,1993
LAD,35,28.8,4.17,162,6261,5588,675,1458,234,28,130,639,126,61,492,937,0.261,0.321,0.383,0.704,93,2138,105,27,107,47,48,1162,1993
MIL,40,28.5,4.52,162,6222,5525,733,1426,240,25,125,688,138,93,555,932,0.258,0.328,0.378,0.706,91,2091,117,40,57,45,52,1112,1993
MIN,41,29.7,4.28,162,6209,5601,693,1480,261,27,121,642,83,59,493,850,0.264,0.327,0.385,0.713,92,2158,150,51,27,37,35,1145,1993
MON,48,25.7,4.49,163,6233,5493,732,1410,270,36,122,682,228,56,542,860,0.257,0.326,0.386,0.712,87,2118,95,48,100,50,65,1166,1993
NYM,41,29.4,4.15,162,6057,5448,672,1350,228,37,158,632,79,50,448,879,0.248,0.305,0.39,0.696,87,2126,108,24,89,47,43,1011,1993
NYY,41,29.7,5.07,162,6359,5615,821,1568,294,24,178,793,39,35,629,910,0.279,0.353,0.435,0.789,114,2444,149,43,22,50,47,1247,1993
OAK,43,28,4.41,162,6295,5543,715,1408,260,21,158,679,131,59,622,1048,0.254,0.33,0.394,0.724,100,2184,125,33,46,49,45,1188,1993
PHI,40,29.3,5.41,162,6527,5685,877,1555,297,51,156,811,91,32,665,1049,0.274,0.351,0.426,0.777,109,2422,107,42,84,51,70,1281,1993
PIT,47,28.1,4.36,162,6269,5549,707,1482,267,50,110,664,92,55,536,972,0.267,0.335,0.393,0.727,96,2179,129,55,76,52,50,1199,1993
SDP,46,26.9,4.19,162,6137,5503,679,1386,239,28,153,633,92,41,443,1046,0.252,0.312,0.389,0.701,86,2140,111,59,80,50,43,1090,1993
SEA,48,28,4.53,162,6288,5494,734,1429,272,24,161,681,91,68,624,901,0.26,0.339,0.406,0.745,99,2232,132,56,63,51,73,1200,1993
SFG,42,28,4.99,162,6271,5557,808,1534,269,33,168,759,120,65,516,930,0.276,0.34,0.427,0.767,108,2373,121,46,102,50,88,1155,1993
STL,39,28,4.68,162,6279,5551,758,1508,262,34,118,724,153,72,588,882,0.272,0.341,0.395,0.736,100,2192,128,27,59,54,50,1177,1993
TEX,44,27.6,5.15,162,6166,5510,835,1472,284,39,181,780,113,67,483,984,0.267,0.329,0.431,0.76,107,2377,111,48,69,56,56,1034,1993
TOR,38,29.2,5.23,162,6319,5579,847,1556,317,42,159,796,170,49,588,861,0.279,0.35,0.436,0.786,110,2434,138,52,46,54,57,1187,1993
ATL,41,28.4,4.21,162,6143,5480,682,1391,223,48,138,641,126,60,493,924,0.254,0.316,0.388,0.703,93,2124,82,26,93,50,58,1131,1992
BAL,38,28.5,4.35,162,6292,5485,705,1423,243,36,148,680,89,48,647,827,0.259,0.34,0.398,0.738,106,2182,139,51,50,59,55,1218,1992
BOS,38,28.7,3.7,162,6187,5461,599,1343,259,21,84,567,44,48,591,865,0.246,0.321,0.347,0.668,83,1896,118,31,60,43,46,1215,1992
CAL,41,28.1,3.57,162,5917,5364,579,1306,202,20,88,537,160,101,416,882,0.243,0.301,0.338,0.638,79,1812,137,40,56,40,40,975,1992
CHC,41,28.3,3.66,162,6156,5590,593,1420,221,41,104,566,77,51,417,816,0.254,0.307,0.364,0.671,88,2035,121,31,78,40,49,1148,1992
CHW,35,28.7,4.56,162,6267,5498,738,1434,269,36,110,686,160,57,622,784,0.261,0.336,0.383,0.718,102,2105,134,31,47,69,48,1174,1992
CIN,42,27.9,4.07,162,6162,5460,660,1418,281,44,99,606,125,65,563,888,0.26,0.328,0.382,0.71,98,2084,123,21,66,52,83,1181,1992
CLE,42,25.7,4.16,162,6201,5620,674,1495,227,24,127,637,144,67,448,885,0.266,0.323,0.383,0.706,99,2151,140,45,42,44,46,1105,1992
DET,34,29.9,4.88,162,6310,5515,791,1411,256,16,182,746,66,45,675,1055,0.256,0.337,0.407,0.744,108,2245,124,24,43,53,42,1188,1992
HOU,38,26.4,3.75,162,6163,5480,608,1350,255,38,96,582,139,54,506,1025,0.246,0.313,0.359,0.673,95,1969,97,48,88,40,65,1162,1992
KCR,42,28.9,3.77,162,6084,5501,610,1411,284,42,75,568,131,71,439,741,0.256,0.315,0.364,0.679,89,2004,121,51,45,46,30,1106,1992
LAD,36,28.3,3.38,162,6038,5368,548,1333,201,34,72,499,142,78,503,899,0.248,0.313,0.339,0.652,86,1818,111,24,102,40,36,1138,1992
MIL,35,29.7,4.57,162,6183,5504,740,1477,272,35,82,683,256,115,511,779,0.268,0.33,0.375,0.705,100,2065,102,33,61,72,45,1101,1992
MIN,39,28.7,4.61,162,6267,5582,747,1544,275,27,104,701,123,74,527,834,0.277,0.341,0.391,0.733,104,2185,130,53,46,59,53,1183,1992
MON,47,27.4,4,162,6120,5477,648,1381,263,37,102,601,196,63,463,976,0.252,0.313,0.37,0.682,93,2024,104,43,82,55,43,1087,1992
NYM,44,29.9,3.7,162,6061,5340,599,1254,259,17,93,564,129,52,572,956,0.235,0.31,0.342,0.652,86,1826,117,28,74,45,53,1098,1992
NYY,40,28.2,4.52,162,6262,5593,733,1462,281,18,163,703,78,37,536,903,0.261,0.328,0.406,0.733,106,2268,138,42,26,55,51,1157,1992
OAK,44,30.2,4.6,162,6275,5387,745,1389,219,24,142,693,143,59,707,831,0.258,0.346,0.386,0.732,111,2082,139,49,72,59,46,1225,1992
PHI,48,27.7,4.23,162,6172,5500,686,1392,255,36,118,638,127,31,509,1059,0.253,0.32,0.377,0.697,97,2073,111,52,64,46,45,1172,1992
PIT,43,28.8,4.28,162,6269,5527,693,1409,272,54,106,656,110,53,569,872,0.255,0.324,0.381,0.705,100,2107,102,25,89,56,88,1177,1992
