Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,HBP,SH,SF,IBB,LOB,Year
SDP,53,27.4,4.02,162,6112,5422,651,1339,272,43,121,610,155,46,539,1238,0.247,0.319,0.38,0.699,97,2060,100,54,63,34,36,1146,2012
SEA,38,27.1,3.82,162,6057,5494,619,1285,241,27,149,584,104,35,466,1259,0.234,0.296,0.369,0.665,88,2027,95,30,32,35,21,1052,2012
SFG,45,27.8,4.43,162,6200,5558,718,1495,287,57,103,675,118,39,483,1097,0.269,0.327,0.397,0.724,106,2205,114,29,69,61,44,1171,2012
STL,45,29.2,4.72,162,6326,5622,765,1526,290,37,159,732,91,37,533,1192,0.271,0.338,0.421,0.759,107,2367,135,53,69,49,45,1198,2012
TBR,43,29.7,4.3,162,6105,5398,697,1293,250,30,175,665,134,44,571,1323,0.24,0.317,0.394,0.711,99,2128,133,58,34,42,26,1058,2012
TEX,39,29.7,4.99,162,6216,5590,808,1526,303,32,200,780,91,44,478,1103,0.273,0.334,0.446,0.78,105,2493,121,57,36,53,44,1113,2012
TOR,54,27.8,4.42,162,6094,5487,716,1346,247,22,198,677,123,41,473,1251,0.245,0.309,0.407,0.716,94,2231,109,55,33,45,29,1026,2012
WSN,43,27.2,4.51,162,6221,5615,731,1468,301,25,194,688,105,35,479,1325,0.261,0.322,0.428,0.75,101,2401,110,41,50,36,43,1127,2012
ARI,51,28.3,4.51,162,6096,5421,731,1357,293,37,172,702,133,55,531,1249,0.25,0.322,0.413,0.736,99,2240,82,61,50,33,55,1064,2011
ATL,45,28.9,3.96,162,6169,5528,641,1345,244,16,173,606,77,44,504,1260,0.243,0.308,0.387,0.695,90,2140,113,28,75,30,45,1109,2011
BAL,50,28.3,4.37,162,6156,5585,708,1434,273,13,191,684,81,25,452,1120,0.257,0.316,0.413,0.729,97,2306,154,52,24,43,24,1069,2011
BOS,49,30,5.4,162,6414,5710,875,1600,352,35,203,842,102,42,578,1108,0.28,0.349,0.461,0.81,116,2631,136,50,22,50,52,1190,2011
CHC,42,29.2,4.04,162,6130,5549,654,1423,285,36,148,610,69,23,425,1202,0.256,0.314,0.401,0.715,95,2224,123,59,60,35,35,1141,2011
CHW,42,30,4.04,162,6159,5502,654,1387,252,16,154,625,81,53,475,989,0.252,0.319,0.388,0.706,89,2133,125,84,52,46,31,1126,2011
CIN,42,28.6,4.54,162,6329,5612,735,1438,264,19,183,697,97,50,535,1250,0.256,0.326,0.408,0.734,98,2289,98,63,78,40,52,1189,2011
CLE,46,27.8,4.35,162,6142,5509,704,1380,290,26,154,671,89,42,494,1269,0.25,0.317,0.396,0.714,100,2184,111,65,31,43,30,1075,2011
COL,55,28.6,4.54,162,6275,5544,735,1429,274,40,163,697,118,42,555,1201,0.258,0.329,0.41,0.739,88,2272,112,57,75,44,54,1172,2011
DET,45,28.7,4.86,162,6231,5563,787,1540,297,34,169,750,49,20,521,1143,0.277,0.34,0.434,0.773,109,2412,142,39,50,58,47,1165,2011
FLA,44,27.4,3.86,162,6232,5508,625,1358,274,30,149,596,95,41,542,1244,0.247,0.318,0.388,0.706,93,2139,111,51,89,42,38,1198,2011
HOU,47,28.2,3.8,162,6150,5598,615,1442,309,28,95,579,118,33,401,1164,0.258,0.311,0.374,0.684,89,2092,111,46,66,37,34,1154,2011
KCR,42,25.8,4.51,162,6267,5672,730,1560,325,41,129,705,153,58,442,1006,0.275,0.329,0.415,0.744,104,2354,121,39,55,57,37,1156,2011
LAA,43,28.9,4.12,162,6088,5513,667,1394,289,34,155,629,135,52,442,1086,0.253,0.313,0.402,0.714,102,2216,126,51,50,32,33,1051,2011
LAD,48,29.8,4,161,6094,5436,644,1395,237,28,117,613,126,40,498,1087,0.257,0.322,0.375,0.697,95,2039,101,45,71,43,61,1165,2011
MIL,48,28.9,4.45,162,6113,5447,721,1422,276,31,185,693,94,31,481,1083,0.261,0.325,0.425,0.75,102,2315,114,56,85,44,53,1110,2011
MIN,45,27.5,3.82,162,6020,5487,619,1357,259,25,103,572,92,39,440,1048,0.247,0.306,0.36,0.666,84,1975,115,37,31,25,24,1080,2011
NYM,46,28,4.43,162,6335,5600,718,1477,309,39,108,676,130,35,571,1085,0.264,0.335,0.391,0.725,103,2188,112,51,65,48,56,1257,2011
NYY,48,30.6,5.35,162,6306,5518,867,1452,267,33,222,836,147,46,627,1138,0.263,0.343,0.444,0.788,110,2451,146,74,36,51,34,1114,2011
OAK,48,29.1,3.98,162,6104,5452,645,1330,280,29,114,612,117,43,509,1094,0.244,0.311,0.369,0.68,88,2010,119,50,34,57,20,1106,2011
PHI,42,31.5,4.4,162,6279,5579,713,1409,258,38,153,693,96,24,539,1024,0.253,0.323,0.395,0.717,96,2202,108,56,65,38,52,1197,2011
PIT,52,27.2,3.77,162,6064,5421,610,1325,277,35,107,580,108,52,489,1308,0.244,0.309,0.368,0.676,90,1993,123,34,75,44,31,1079,2011
SDP,48,28,3.66,162,6074,5417,593,1284,247,42,91,563,170,44,501,1320,0.237,0.305,0.349,0.653,85,1888,105,48,55,47,42,1103,2011
SEA,47,29.4,3.43,162,5972,5421,556,1263,253,22,109,534,125,40,435,1280,0.233,0.292,0.348,0.64,84,1887,82,37,38,41,33,1083,2011
SFG,44,30.2,3.52,162,6091,5486,570,1327,282,24,121,534,85,51,448,1122,0.242,0.303,0.368,0.671,91,2020,117,52,62,43,47,1127,2011
STL,46,29.3,4.7,162,6242,5532,762,1513,308,22,162,726,57,39,542,978,0.273,0.341,0.425,0.766,112,2351,169,44,84,40,64,1127,2011
TBR,42,28.3,4.36,162,6152,5436,707,1324,273,37,172,674,155,62,571,1193,0.244,0.322,0.402,0.724,104,2187,101,73,37,35,31,1118,2011
TEX,45,29.1,5.28,162,6261,5659,855,1599,310,32,210,807,143,45,475,930,0.283,0.34,0.46,0.8,110,2603,135,39,39,49,35,1126,2011
TOR,53,28.3,4.59,162,6210,5559,743,1384,285,34,186,704,131,52,525,1184,0.249,0.317,0.413,0.73,96,2295,108,48,31,47,41,1090,2011
WSN,44,28.4,3.88,161,6090,5441,624,1319,257,22,154,594,106,38,470,1323,0.242,0.309,0.383,0.691,89,2082,103,65,82,32,40,1114,2011
ARI,48,26.8,4.4,162,6183,5473,713,1366,301,34,180,691,86,41,589,1529,0.25,0.325,0.416,0.74,94,2275,113,39,41,41,45,1139,2010
ATL,43,28.6,4.56,162,6252,5463,738,1411,312,25,139,699,63,29,634,1140,0.258,0.339,0.401,0.74,101,2190,136,51,69,35,50,1222,2010
BAL,45,28.6,3.78,162,6109,5554,613,1440,264,21,133,577,76,34,424,1056,0.259,0.316,0.386,0.702,92,2145,154,54,31,45,32,1139,2010
BOS,53,30.9,5.05,162,6356,5646,818,1511,358,22,211,782,68,17,587,1140,0.268,0.339,0.451,0.79,109,2546,130,47,29,46,43,1200,2010
CHC,44,29.3,4.23,162,6140,5512,685,1414,298,27,149,658,55,31,479,1236,0.257,0.32,0.401,0.721,90,2213,124,50,60,38,32,1129,2010
CHW,40,30.6,4.64,162,6118,5484,752,1467,263,21,177,710,160,74,467,922,0.268,0.332,0.42,0.752,102,2303,148,79,50,38,23,1046,2010
CIN,44,29,4.88,162,6285,5579,790,1515,293,30,188,761,93,43,522,1218,0.272,0.338,0.436,0.774,106,2432,113,68,66,50,34,1174,2010
CLE,45,27.2,3.99,162,6165,5487,646,1362,290,20,128,601,91,33,545,1184,0.248,0.322,0.378,0.7,96,2076,118,64,36,33,34,1186,2010
COL,43,28.8,4.75,162,6265,5530,770,1452,270,54,173,741,99,42,585,1274,0.263,0.336,0.425,0.76,92,2349,103,47,56,47,53,1175,2010
DET,41,29,4.64,162,6312,5643,751,1515,308,32,152,717,69,30,546,1147,0.268,0.335,0.415,0.75,102,2343,118,41,41,41,50,1229,2010
FLA,57,26.9,4.44,162,6194,5531,719,1403,294,37,152,686,92,26,514,1375,0.254,0.321,0.403,0.724,92,2227,107,55,51,43,42,1154,2010
HOU,48,29.6,3.77,162,6005,5452,611,1348,252,25,108,577,100,36,415,1025,0.247,0.303,0.362,0.665,81,1974,130,33,75,29,27,1060,2010
KCR,46,28.9,4.17,162,6209,5604,676,1534,279,31,121,640,115,50,471,905,0.274,0.331,0.399,0.73,100,2238,152,35,45,53,25,1173,2010
LAA,46,29.6,4.2,162,6089,5488,681,1363,276,19,155,656,104,52,466,1070,0.248,0.311,0.39,0.702,94,2142,125,52,42,37,28,1049,2010
LAD,49,30.3,4.12,162,6140,5426,667,1368,270,29,120,621,92,50,533,1184,0.252,0.322,0.379,0.7,92,2056,123,46,85,50,57,1142,2010
MIL,43,27.9,4.63,162,6304,5606,750,1471,293,33,182,710,81,26,546,1216,0.262,0.335,0.424,0.759,103,2376,115,81,35,35,35,1220,2010
MIN,42,28.4,4.82,162,6257,5568,781,1521,318,41,142,749,68,28,559,967,0.273,0.341,0.422,0.762,109,2347,159,39,38,53,45,1156,2010
NYM,47,28.4,4.05,162,6144,5465,656,1361,266,40,128,625,130,44,502,1095,0.249,0.314,0.383,0.697,90,2091,101,46,74,57,53,1124,2010
NYY,43,30.3,5.3,162,6379,5567,859,1485,275,32,201,823,103,30,662,1136,0.267,0.35,0.436,0.786,108,2427,124,73,33,44,36,1228,2010
OAK,49,27.8,4.09,162,6117,5448,663,1396,276,30,109,619,156,38,527,1061,0.256,0.324,0.378,0.702,92,2059,129,47,43,51,16,1159,2010
PHI,42,31.8,4.77,162,6291,5581,772,1451,290,34,166,736,108,21,560,1064,0.26,0.332,0.413,0.745,98,2307,120,63,44,43,69,1194,2010
PIT,52,26.5,3.62,162,5974,5386,587,1303,276,27,126,570,87,36,463,1207,0.242,0.304,0.373,0.678,84,2011,119,33,58,33,28,1078,2010
SDP,40,29.1,4.1,162,6148,5434,665,1338,236,24,132,630,124,50,538,1183,0.246,0.317,0.371,0.689,93,2018,106,50,79,46,67,1125,2010
SEA,47,29.5,3.17,162,5989,5409,513,1274,227,16,101,485,142,39,459,1184,0.236,0.298,0.339,0.637,79,1836,110,39,42,40,33,1116,2010
SFG,42,29.5,4.3,162,6143,5488,697,1411,284,30,162,660,55,32,487,1099,0.257,0.321,0.408,0.729,98,2241,158,50,76,41,53,1092,2010
STL,42,28.8,4.54,162,6241,5542,736,1456,285,18,150,689,79,41,541,1027,0.263,0.332,0.402,0.733,100,2227,124,50,66,40,78,1164,2010
TBR,37,27.5,4.95,162,6270,5439,802,1343,295,37,160,769,172,47,672,1292,0.247,0.333,0.403,0.736,105,2192,92,57,39,57,30,1152,2010
TEX,48,28.3,4.86,162,6302,5635,787,1556,268,25,162,740,123,48,511,986,0.276,0.338,0.419,0.757,98,2360,129,45,53,54,37,1174,2010
TOR,44,29.3,4.66,162,6072,5495,755,1364,319,21,257,732,58,20,471,1164,0.248,0.312,0.454,0.766,105,2496,114,55,16,34,25,1017,2010
WSN,46,29.1,4.04,162,6100,5418,655,1355,250,31,149,634,110,41,503,1220,0.25,0.318,0.39,0.708,91,2114,125,60,71,47,36,1113,2010
ARI,45,26.5,4.44,162,6269,5565,720,1408,307,45,173,686,102,40,571,1298,0.253,0.324,0.418,0.742,91,2324,93,37,54,41,47,1173,2009
ATL,45,28.8,4.54,162,6335,5539,735,1459,300,20,149,700,58,26,602,1064,0.263,0.339,0.405,0.744,97,2246,142,52,95,47,54,1223,2009
BAL,48,28.7,4.57,162,6233,5618,741,1508,307,19,160,708,76,37,517,1013,0.268,0.332,0.415,0.747,95,2333,131,39,13,46,25,1160,2009
BOS,52,30,5.38,162,6344,5543,872,1495,335,25,212,822,126,39,659,1120,0.27,0.352,0.454,0.806,106,2516,137,70,19,51,39,1210,2009
CHC,45,29.9,4.39,161,6244,5486,707,1398,293,29,161,678,56,34,592,1185,0.255,0.332,0.407,0.738,89,2232,134,59,65,42,44,1209,2009
CHW,45,29.8,4.47,162,6132,5463,724,1410,246,20,184,695,113,49,534,1022,0.258,0.329,0.411,0.74,90,2248,139,62,34,39,25,1086,2009
CIN,46,27.9,4.15,162,6187,5462,673,1349,280,25,158,637,96,40,531,1129,0.247,0.318,0.394,0.712,87,2153,103,53,100,41,37,1131,2009
CLE,52,27.4,4.77,162,6320,5568,773,1468,314,28,161,730,84,31,582,1211,0.264,0.339,0.417,0.756,102,2321,140,81,39,50,20,1198,2009
COL,45,27.8,4.96,162,6241,5398,804,1408,300,50,190,760,106,55,660,1277,0.261,0.343,0.441,0.784,96,2378,111,47,76,60,40,1147,2009
DET,45,29.8,4.56,163,6234,5540,743,1443,245,35,183,718,72,33,540,1114,0.26,0.331,0.416,0.747,95,2307,131,61,53,39,30,1159,2009
FLA,44,27,4.77,162,6312,5572,772,1493,296,25,159,727,75,35,568,1226,0.268,0.34,0.416,0.756,97,2316,110,63,70,39,46,1214,2009
HOU,42,31.6,3.97,162,6040,5436,643,1415,270,32,142,616,113,44,448,990,0.26,0.319,0.4,0.719,91,2175,153,43,66,45,37,1080,2009
KCR,43,27.6,4.23,162,6103,5532,686,1432,276,51,144,657,88,29,457,1091,0.259,0.318,0.405,0.724,92,2242,135,42,38,32,20,1090,2009
LAA,46,29.5,5.45,162,6305,5622,883,1604,293,33,173,841,148,63,547,1054,0.285,0.35,0.441,0.792,108,2482,128,41,43,52,32,1134,2009
LAD,47,29.7,4.81,162,6385,5592,780,1511,278,39,145,739,116,48,607,1068,0.27,0.346,0.412,0.758,104,2302,141,63,78,44,76,1224,2009
MIL,45,29.3,4.85,162,6296,5510,785,1447,281,37,182,757,68,37,610,1231,0.263,0.341,0.426,0.767,103,2348,128,71,58,47,44,1203,2009
MIN,42,27.6,5.01,163,6346,5608,817,1539,271,40,172,770,85,32,585,1021,0.274,0.345,0.429,0.774,104,2406,147,45,51,57,46,1185,2009
NYM,53,29.5,4.14,162,6159,5453,671,1472,295,49,95,631,122,44,526,928,0.27,0.335,0.394,0.729,95,2150,144,36,88,55,49,1183,2009
NYY,45,30.5,5.65,162,6449,5660,915,1604,325,21,244,881,111,28,663,1014,0.283,0.362,0.478,0.839,114,2703,144,54,31,39,35,1238,2009
OAK,51,29.1,4.69,162,6247,5584,759,1464,307,21,135,723,133,48,527,1046,0.262,0.328,0.397,0.726,92,2218,130,50,31,54,16,1130,2009
PHI,41,31.3,5.06,162,6338,5578,820,1439,312,35,224,788,119,28,589,1155,0.258,0.334,0.447,0.781,104,2493,90,71,55,45,47,1192,2009
PIT,49,27,3.95,161,6058,5417,636,1364,289,34,125,612,90,32,499,1142,0.252,0.318,0.387,0.705,87,2096,124,46,60,36,44,1124,2009
SDP,56,28,3.94,162,6179,5425,638,1315,265,31,141,605,82,29,586,1182,0.242,0.321,0.381,0.701,93,2065,131,57,74,36,52,1168,2009
SEA,46,29.9,3.95,162,6113,5543,640,1430,280,19,160,613,89,33,421,1093,0.258,0.314,0.402,0.716,92,2228,124,49,56,44,39,1121,2009
SFG,44,29,4.06,162,6057,5493,657,1411,275,43,122,612,78,28,392,1158,0.257,0.309,0.389,0.699,82,2138,115,50,67,55,41,1080,2009
STL,42,28.5,4.51,162,6168,5465,730,1436,294,29,160,694,75,31,528,1041,0.263,0.332,0.415,0.747,98,2268,127,61,68,43,73,1152,2009
TBR,41,27.8,4.96,162,6223,5462,803,1434,297,36,199,765,194,61,642,1229,0.263,0.343,0.439,0.782,106,2400,104,49,25,45,36,1151,2009
TEX,44,27.8,4.84,162,6127,5526,784,1436,296,27,224,748,149,36,472,1253,0.26,0.32,0.445,0.764,95,2458,97,37,40,51,23,1059,2009
TOR,44,29.9,4.93,162,6362,5696,798,1516,339,13,209,766,73,23,548,1028,0.266,0.333,0.44,0.773,102,2508,130,45,24,49,23,1195,2009
WSN,55,28.4,4.38,162,6273,5493,710,1416,271,38,156,685,73,40,617,1208,0.258,0.337,0.406,0.743,96,2231,133,56,64,42,39,1223,2009
ARI,41,26.7,4.44,162,6156,5409,720,1355,318,47,159,683,58,23,587,1287,0.251,0.327,0.415,0.742,88,2244,105,49,68,43,49,1142,2008
ATL,49,27.1,4.65,162,6368,5604,753,1514,316,33,130,721,58,27,618,1023,0.27,0.345,0.408,0.753,99,2286,143,42,69,34,56,1274,2008
BAL,46,30.1,4.86,161,6211,5559,782,1486,322,30,172,750,81,37,533,990,0.267,0.333,0.429,0.762,100,2384,111,42,27,48,37,1134,2008
BOS,47,29.8,5.22,162,6402,5596,845,1565,353,33,173,807,120,35,646,1068,0.28,0.358,0.447,0.805,107,2503,147,70,28,62,49,1262,2008
CHC,42,30,5.31,161,6384,5588,855,1552,329,21,184,811,87,34,636,1186,0.278,0.354,0.443,0.797,103,2475,134,50,65,45,48,1237,2008
CHW,39,30.6,4.98,163,6231,5553,811,1458,296,13,235,785,67,34,540,1016,0.263,0.332,0.448,0.78,102,2485,157,63,28,47,33,1067,2008
CIN,48,28.6,4.35,162,6188,5465,704,1351,269,24,187,677,85,47,560,1125,0.247,0.321,0.408,0.729,89,2229,101,50,72,41,50,1138,2008
CLE,49,27.6,4.97,162,6299,5543,805,1455,339,22,171,772,77,29,560,1213,0.262,0.339,0.424,0.763,103,2351,123,103,43,49,44,1184,2008
COL,49,27.5,4.61,162,6312,5557,747,1462,310,28,160,714,141,37,570,1209,0.263,0.336,0.415,0.751,89,2308,119,57,90,38,36,1207,2008
DET,46,30.3,5.07,162,6331,5641,821,1529,293,41,200,780,63,31,572,1076,0.271,0.34,0.444,0.784,105,2504,144,44,30,44,23,1159,2008
FLA,45,28,4.78,161,6206,5499,770,1397,302,28,208,741,76,28,543,1371,0.254,0.326,0.433,0.759,97,2379,98,69,49,46,50,1140,2008
HOU,41,31.1,4.42,161,6051,5451,712,1432,284,22,167,684,114,52,449,1051,0.263,0.323,0.415,0.737,95,2261,116,52,57,41,42,1073,2008
KCR,43,28,4.27,162,6118,5608,691,1507,303,28,120,650,79,38,392,1005,0.269,0.32,0.397,0.717,91,2226,144,50,32,36,31,1073,2008
LAA,41,29,4.72,162,6155,5540,765,1486,274,25,159,721,129,48,481,987,0.268,0.33,0.413,0.743,95,2287,140,52,32,50,52,1087,2008
LAD,46,28.5,4.32,162,6194,5506,700,1455,271,29,137,659,126,43,543,1032,0.264,0.333,0.399,0.732,93,2195,153,43,64,38,62,1161,2008
MIL,44,28.6,4.63,162,6252,5535,750,1398,324,35,198,722,108,38,550,1203,0.253,0.325,0.431,0.757,99,2386,97,69,54,43,44,1153,2008
MIN,40,26.2,5.09,163,6331,5641,829,1572,298,49,111,791,102,42,529,979,0.279,0.34,0.408,0.748,102,2301,142,36,52,72,48,1140,2008
NYM,50,30.1,4.93,162,6388,5606,799,1491,274,38,172,751,138,36,619,1024,0.266,0.34,0.42,0.761,101,2357,129,39,73,49,71,1220,2008
NYY,51,31.3,4.87,162,6257,5572,789,1512,289,20,180,758,118,39,535,1015,0.271,0.342,0.427,0.769,101,2381,149,80,31,39,36,1160,2008
OAK,51,27.2,4.01,161,6138,5451,646,1318,270,23,125,610,88,21,574,1226,0.242,0.318,0.369,0.686,87,2009,126,48,30,35,23,1166,2008
PHI,40,30.1,4.93,162,6273,5509,799,1407,291,36,214,762,136,25,586,1117,0.255,0.332,0.438,0.77,99,2412,108,67,71,40,68,1154,2008
PIT,47,28.4,4.54,162,6278,5628,735,1454,314,21,153,705,57,19,474,1039,0.258,0.32,0.403,0.723,92,2269,111,59,66,51,40,1135,2008
SDP,59,28.9,3.93,162,6244,5568,637,1390,264,27,154,615,36,17,518,1259,0.25,0.317,0.39,0.707,96,2170,129,53,59,46,35,1181,2008
SEA,44,29.7,4.14,162,6176,5643,671,1498,285,20,124,631,90,32,417,890,0.265,0.318,0.389,0.707,90,2195,137,38,36,42,44,1151,2008
SFG,49,29.6,3.95,162,6145,5543,640,1452,311,37,94,606,108,46,452,1044,0.262,0.321,0.382,0.703,83,2119,139,48,57,44,45,1148,2008
STL,43,28.8,4.81,162,6370,5636,779,1585,283,26,174,744,73,32,577,985,0.281,0.35,0.433,0.783,107,2442,150,42,71,44,63,1241,2008
TBR,46,27,4.78,162,6312,5541,774,1443,284,37,180,735,142,50,626,1224,0.26,0.34,0.422,0.762,101,2341,111,68,23,52,33,1215,2008
TEX,55,27.7,5.56,162,6478,5728,901,1619,376,35,194,867,81,25,595,1207,0.283,0.354,0.462,0.816,114,2647,117,63,37,54,43,1238,2008
TOR,43,31,4.41,162,6191,5503,714,1453,303,32,126,681,80,27,521,938,0.264,0.331,0.399,0.731,96,2198,150,59,48,56,34,1155,2008
WSN,50,27.8,3.98,161,6192,5491,641,1376,269,26,117,608,81,43,534,1095,0.251,0.323,0.373,0.696,84,2048,153,67,64,36,21,1178,2008
ARI,47,26.6,4.4,162,6101,5398,712,1350,286,40,171,687,109,24,532,1111,0.25,0.321,0.413,0.734,83,2229,121,57,55,58,38,1090,2007
ATL,50,27.6,5,162,6374,5689,810,1562,328,27,176,781,64,30,534,1149,0.275,0.339,0.435,0.774,101,2472,137,49,55,47,43,1205,2007
BAL,49,30.4,4.67,162,6264,5631,756,1529,306,30,142,718,144,42,500,939,0.272,0.333,0.412,0.746,95,2321,139,47,38,47,31,1152,2007
BOS,40,30.1,5.35,162,6426,5589,867,1561,352,35,166,829,96,24,689,1042,0.279,0.362,0.444,0.806,107,2481,146,64,30,54,54,1291,2007
CHC,47,29.3,4.64,162,6268,5643,752,1530,340,28,151,711,86,33,500,1054,0.271,0.333,0.422,0.754,90,2379,127,40,48,37,48,1190,2007
CHW,43,29.7,4.28,162,6103,5441,693,1341,249,20,190,667,78,45,532,1149,0.246,0.318,0.404,0.722,86,2200,138,52,41,35,33,1074,2007
CIN,51,29.7,4.83,162,6332,5607,783,1496,293,23,204,747,97,31,536,1113,0.267,0.335,0.436,0.772,95,2447,140,66,73,46,51,1170,2007
CLE,41,28,5.01,162,6367,5604,811,1504,305,27,178,784,72,41,590,1202,0.268,0.343,0.428,0.771,102,2397,114,80,32,59,56,1215,2007
COL,53,27.9,5.28,163,6498,5691,860,1591,313,36,171,823,100,31,622,1152,0.28,0.354,0.437,0.791,98,2489,140,58,83,44,51,1251,2007
DET,44,30.9,5.48,162,6364,5757,887,1652,352,50,177,857,103,30,474,1054,0.287,0.345,0.458,0.802,108,2635,128,56,31,45,45,1148,2007
FLA,50,26.7,4.88,162,6344,5627,790,1504,340,38,201,749,105,34,521,1332,0.267,0.336,0.448,0.784,104,2523,107,82,72,42,46,1192,2007
HOU,41,31.4,4.46,162,6324,5605,723,1457,293,30,167,700,65,33,547,1043,0.26,0.33,0.412,0.742,91,2311,142,55,77,40,40,1181,2007
KCR,45,28,4.36,162,6140,5534,706,1447,300,46,102,660,78,44,428,1069,0.261,0.322,0.388,0.71,87,2145,151,89,41,47,34,1089,2007
LAA,42,28.6,5.07,162,6198,5554,822,1578,324,23,123,776,139,55,507,883,0.284,0.345,0.417,0.762,99,2317,146,40,32,65,55,1100,2007
LAD,45,29.7,4.54,162,6282,5614,735,1544,276,35,129,706,137,50,511,864,0.275,0.337,0.406,0.743,91,2277,116,41,58,55,41,1200,2007
MIL,40,27.8,4.94,162,6238,5554,801,1455,310,37,231,774,96,32,501,1137,0.262,0.329,0.456,0.785,101,2532,112,76,60,47,60,1117,2007
MIN,42,28.5,4.43,162,6161,5522,718,1460,273,36,118,671,112,30,512,839,0.264,0.33,0.391,0.721,94,2159,149,48,34,45,41,1121,2007
NYM,49,30.8,4.96,162,6344,5605,804,1543,294,27,177,761,200,46,549,981,0.275,0.342,0.432,0.775,101,2422,114,54,77,58,64,1196,2007
NYY,49,30.6,5.98,162,6528,5717,968,1656,326,32,201,929,123,40,637,991,0.29,0.366,0.463,0.829,116,2649,138,78,41,54,32,1249,2007
OAK,54,29,4.57,162,6365,5577,741,1430,295,16,171,711,52,20,664,1119,0.256,0.338,0.407,0.745,101,2270,142,49,18,56,29,1258,2007
PHI,46,28.8,5.51,162,6537,5688,892,1558,326,41,213,850,138,19,641,1205,0.274,0.354,0.458,0.812,105,2605,125,90,65,52,74,1295,2007
PIT,46,27.2,4.47,162,6214,5569,724,1463,322,31,148,694,68,30,463,1135,0.263,0.325,0.411,0.736,92,2291,130,71,60,51,31,1119,2007
SDP,49,29.9,4.55,163,6326,5612,741,1408,322,31,171,704,55,24,557,1229,0.251,0.322,0.411,0.732,97,2305,113,49,64,44,45,1152,2007
SEA,44,29.9,4.9,162,6209,5684,794,1629,284,22,153,754,81,30,389,861,0.287,0.337,0.425,0.762,103,2416,154,62,33,40,32,1128,2007
SFG,44,32.6,4.22,162,6213,5538,683,1407,267,37,131,641,119,33,532,907,0.254,0.322,0.387,0.708,82,2141,142,39,67,36,74,1141,2007
STL,45,30.3,4.48,162,6211,5529,725,1513,279,13,141,690,56,33,506,909,0.274,0.337,0.405,0.743,92,2241,154,54,68,54,47,1167,2007
TBD,45,25.9,4.83,162,6280,5593,782,1500,291,36,187,750,131,48,545,1324,0.268,0.336,0.433,0.769,103,2424,119,53,34,52,31,1166,2007
TEX,50,29.4,5.04,162,6214,5555,816,1460,298,36,179,768,88,25,503,1224,0.263,0.328,0.426,0.754,97,2367,129,56,57,42,27,1092,2007
TOR,46,30.4,4.65,162,6197,5536,753,1434,344,24,165,719,57,22,533,1044,0.259,0.327,0.419,0.746,95,2321,127,47,33,48,32,1112,2007
WSN,47,27.9,4.15,162,6201,5520,673,1415,309,31,123,646,69,23,524,1128,0.256,0.325,0.39,0.715,89,2155,143,53,63,41,38,1163,2007
ARI,45,29.6,4.77,162,6330,5645,773,1506,331,38,160,743,76,30,504,965,0.267,0.331,0.424,0.755,89,2393,136,67,61,53,47,1166,2006
ATL,45,27.4,5.24,162,6284,5583,849,1510,312,26,222,818,52,35,526,1169,0.27,0.337,0.455,0.791,101,2540,131,52,78,44,48,1105,2006
BAL,46,30.4,4.74,162,6240,5610,768,1556,288,20,164,727,121,32,474,878,0.277,0.339,0.424,0.763,97,2376,145,73,40,41,35,1177,2006
BOS,53,30.4,5.06,162,6435,5619,820,1510,327,16,192,777,51,23,672,1056,0.269,0.351,0.435,0.786,98,2445,136,66,22,56,56,1301,2006
CHC,46,28.6,4.42,162,6147,5587,716,1496,271,46,166,677,121,49,395,928,0.268,0.319,0.422,0.741,86,2357,135,43,84,37,24,1082,2006
CHW,37,29.7,5.36,162,6318,5657,868,1586,291,20,236,839,93,48,502,1056,0.28,0.342,0.464,0.806,103,2625,118,58,44,57,33,1125,2006
CIN,54,29.6,4.62,162,6296,5515,749,1419,291,12,217,718,124,33,614,1192,0.257,0.336,0.432,0.768,93,2385,122,59,66,38,52,1196,2006
CLE,45,27.7,5.37,162,6303,5619,870,1576,351,27,196,839,55,23,556,1204,0.28,0.349,0.457,0.806,108,2569,127,54,30,43,42,1162,2006
COL,50,27.8,5.02,162,6348,5562,813,1504,325,54,157,761,85,50,561,1108,0.27,0.341,0.433,0.774,90,2408,119,60,119,45,64,1174,2006
DET,40,29.3,5.07,162,6198,5642,822,1548,294,40,203,785,60,40,430,1133,0.274,0.329,0.449,0.777,99,2531,120,45,45,36,27,1068,2006
FLA,40,25.6,4.68,162,6191,5502,758,1454,309,42,182,713,110,58,497,1249,0.264,0.331,0.435,0.766,99,2393,109,74,76,42,55,1126,2006
HOU,39,30.5,4.54,162,6326,5521,735,1407,275,27,174,708,79,36,585,1076,0.255,0.332,0.409,0.741,89,2258,122,73,100,46,54,1191,2006
KCR,55,29.7,4.67,162,6229,5589,757,1515,335,37,124,718,65,34,474,1040,0.271,0.332,0.411,0.743,91,2296,130,64,52,48,32,1144,2006
LAA,40,28.8,4.73,162,6221,5609,766,1539,309,29,159,737,148,57,486,914,0.274,0.334,0.425,0.759,95,2383,126,42,31,53,49,1121,2006
